ASN,Report count,Organization
553,2123,BelWü
61094,2118,CRATIS
28126,2117,Brisanet Servicos de Telecomunicacoes
56971,2113,CGI GLOBAL LIMITED
8437,2111,Hutchison Drei Austria GmbH
201626,2110,Podillia-hotel PJSC
15964,2097,CAMTEL
12716,2097,A1 Bulgaria AS12716
28753,2096,LeaseWeb Germany / FRA-01
6739,2093,VODAFONE ONO S.A.
11172,2092,Alestra
48753,2091,AVA HOST SRL
63859,2077,Eka Mas Republik
2614,2075,RoEduNet
57578,2072,Misaka Network Inc. (CIS)
31581,2067,National Infocommunications Service Company Limited by Shares
197226,2061,Sprint Data Center
9658,2058,Eastern Telecommunications Philippines Inc.
202520,2057,SkyPass Solutions
33934,2055,OJSC Volgogradelectrosviaz
213250,2051,ITP-SOLUTIONS
33837,2050,Fredrik Holmqvist
28649,2044,Desktop Sigmanet Comunicação Multimídia Ltda
263812,2041,IPXON Networks
268552,2041,NETSBRASIL
215762,2036,bulletgroup
6713,2035,MAROC TELECOM
8462,2032,Tarr Ltd.
28198,2031,Brasil TecPar (Sempre)
11888,2028,Televisión Internacional SA de CV AS11888
53006,2027,ALGAR TELECOM S/A
136435,2025,ELITE COMMUNICATION
206804,2023,EstNOC
199404,2020,hosting.com BOM1
9105,2017,
214503,2016,r0cket.cloud
2518,2008,BIGLOBE Inc.
29456,1999,PJSC Rostelecom
134032,1996,Infonet Comm Enterprises
62966,1990,BrightEdge Technologies
134756,1986,CHINANET Nanjing Jishan IDC network
13188,1984,Triolan ISP
46475,1974,Limestone Networks
8758,1974,iWay AG
21497,1973,Vodafone Ukraine
211522,1969,
60781,1964,LeaseWeb Netherlands / AMS-01
23700,1956,First Media
62904,1953,Eonix N.A. Region
27951,1946,Media Commerce Partners
271795,1943,ONETELECOM CIA LTDA
47165,1939,Omskie kabelnye seti
3302,1935,Retelit S.p.A.
133159,1935,Mammoth Media
132525,1929,HeiLongJiang Mobile Communication Company Limited
30036,1926,Mediacom Communications
45903,1915,CMC Telecom
150862,1912,VPSTTT COMPUTER COMPANY LIMITED
25159,1909,SONICDUO
15502,1902,Vodafone Ireland
132116,1901,Anonet Communications Pvt Ltd
47741,1899,
29571,1890,Orange Cote d'Ivoire
397373,1886,H4Y Technologies LLC
51765,1882,CreaNova Datacenter
8422,1877,NetCologne
21127,1867,Joint Stock Company TransTeleCom
9931,1860,NT(CAT) Corporate Internet
49453,1857,Global Layer BV
8926,1855,Moldtelecom
206728,1853,Media Land LLC
4804,1851,Optus Internet
61461,1841,Airtek Solutions
3326,1839,Datagroup
262191,1838,COLUMBUS NETWORKS COLOMBIA
18126,1837,Chubu Telecommunications Co.Inc. (ctc)
25135,1837,Vodafone UK Packet Backbone
1853,1828,ACOnet
47553,1827,Misaka Network Inc. (BYOIP)
9381,1824,HKBNES
26617,1820,Navega.com
36914,1819,KENET
20632,1818,North-West branch of PJSC Megafon
208583,1815,Shadowforce
18001,1812,Dialog Axiata PLC
262916,1800,Mega Cable S.A. de C.V.
56005,1799,Zhengzhou Fastidc Technology Co.Ltd.
4771,1799,Spark New Zealand Trading Ltd.
131596,1798,TBC
214762,1797,MatHost.eu
22047,1797,VTR Global COM S.A.
56630,1795,Melbikomas
9595,1789,NTT-ME (XePhionWAKWAK)
49531,1782,NetCom-R LLC
19148,1782,LeaseWeb / PHX-01
27717,1779,Corporacion Digitel AS27717
4755,1778,Tata Communications AS4755
210509,1769,Optimum Line for Internet Services Ltd.
137125,1769,NETSAT
137,1764,GARR
11845,1764,Vox Telecom
135061,1762,China Unicom Guangdong IP network
23506,1758,
30282,1757,Unitas Global
48011,1757,DigiTurunc
53813,1753,Zscaler AS53813
26615,1752,TIM Celular
209012,1751,MULTISOFT LLC
266702,1747,MEGALINK S.R.L.
18678,1747,InterNexa
31042,1745,Serbia BroadBand
45773,1745,Pakistan Education & Research Network
132883,1741,TOPWAY GLOBAL LIMITED
24158,1740,Taiwan Mobile Co. Ltd.
4809,1737,China Telecom / CN2
9981,1736,Saero Network Service LTD
2852,1735,CESNET
134351,1734,Leaseweb Japan
271597,1733,NEW LINK CONNECT
3329,1732,VODAFONE-PANAFON HELLENIC TELECOMMUNICATIONS COMPANY SA
32613,1731,Leaseweb Canada
17623,1730,China Unicom Shenzen network
8717,1729,A1 BG EAD
21367,1727,Wiland
214309,1727,Aurorix Gaming Solutions Limited
132335,1724,LeapSwitch Networks
23352,1722,Summit
201295,1722,Shabakeh Ertebatat Artak Towseeh PJSC
19901,1714,Brightspeed
131111,1710,PT Ekamas Mora Republik Tbk - Domestic (ISP)
24400,1710,Shanghai Mobile Communications Co.Ltd.
58898,1698,Rainbow Communications India
263025,1698,ISPTEC Sistemas de Comunicação
17501,1694,Worldlink Communications
3292,1694,TDC A/S
44547,1687,NETUNDWEB TELEKOMUNIKASYON
214305,1687,
60587,1680,XINON Carrier Network
11831,1677,eSecureData
31245,1670,ATI - Agence Tunisienne Internet
13332,1670,NephoScale
17465,1666,Asianet Satellite Communications Ltd
6871,1666,Plusnet plc
64286,1664,LogicWeb
62468,1652,VpsQuan L.L.C.
6306,1647,Telefonica Venezolana C.A.
40861,1636,Paradise Networks
41378,1633,Kirino
262287,1633,Latitude.sh AS262287
11830,1629,ICE (Costa Rica)
48503,1627,Tele2 Kazakhstan
10834,1627,Telefonica Empresas
200845,1623,Avatel Telecom
16629,1622,CTCCORP
327813,1622,Web4Africa
12887,1619,Netia SA
27176,1618,DataWagon
35048,1616,Biterika Group LLC
132167,1616,Nine Communications Co.Ltd
5065,1614,Bunny Communications
55423,1611,JasTel Network
