JA4,User Agent
t13d3612h1_018971650b2c_58ed7828516f,Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko HeadlessChrome/136.0.0.0 Safari/537.36|Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko Chrome/138.0.0.0 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/138.0.0.0 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/116.0.0.0 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/125.0.0.0 Safari/537.36 Edg/125.0.0.0|Mozilla/5.0 Windows NT 10.0; Win64; x64; rv:128.0 Gecko/20100101 Firefox/128.0|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/120.0.0.0 Safari/537.36|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/605.1.15 KHTML like Gecko Version/18.5 Safari/605.1.15
t13d361100_018971650b2c_e8b3fe21f08b,
t13d361000_bcee18a5b459_c3976d268853,
t13d3515h2_bfa337485184_3ad6d895dd8c,facebookexternalhit/1.1 +http://*** 
t13d3514h2_bfa337485184_3ad6d895dd8c,
t13d3514h1_bfa337485184_678a800b2221,
t13d3513h2_bfa337485184_78d7f2c09238,
t13d3513h1_bfa337485184_678a800b2221,
t13d330900_80cecea31fe6_9da38b6fd1bc,
t13d321200_1b30506679d3_144321f44052,
t13d321100_1b30506679d3_144321f44052,
t13d3114h2_e8f1e7e78f70_d75bc63958da,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/147.0.0.0 Safari/537.36
t13d3114h2_8c1ae1bbf969_3ad6d895dd8c,
t13d3113h2_e8f1e7e78f70_ce5650b735ce,Mozilla/5.0 AppleWebKit/537.36 KHTML like Gecko; compatible; ClaudeBot/1.0; +claudebot@anthropic.com
t13d3113h2_e8f1e7e78f70_550dd089df7a,
t13d3113h2_e8f1e7e78f70_1b3407e2c936,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/127.0.0.0 Safari/537.36
t13d3113h2_8c1ae1bbf969_78d7f2c09238,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/69.0.3497.100 Safari/537.36
t13d3113h1_e8f1e7e78f70_d339722ba4af,
t13d3113h1_e8f1e7e78f70_ce5650b735ce,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/120.0.0.0 Safari/537.36
t13d3113h1_e8f1e7e78f70_1b3407e2c936,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/127.0.0.0 Safari/537.36
t13d3112h2_e8f1e7e78f70_d41ae481755e,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/124.0.0.0 Safari/537.36
t13d3112h2_e8f1e7e78f70_b26ce05bbdd6,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/143.0.0.0 Safari/537.36|curl/7.88.1|curl/8.5.0|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/99.0.4859.172 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/120.0.0.0 Safari/537.36|Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko Chrome/91.0.4472.124 Safari/537.36|Mozilla/5.0 AppleWebKit/537.36 KHTML like Gecko; compatible; ClaudeBot/1.0; +claudebot@anthropic.com|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/141.0.0.0 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/144.0.0.0 Safari/537.36
t13d3112h1_e8f1e7e78f70_f6eeaf393d2e,
t13d3112h1_e8f1e7e78f70_d41ae481755e,pythonhttpx/0.28.1|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/94.0.4606.61 Safari/537.36|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/121.0.0.0 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/137.0.0.0 Safari/537.36|Mozilla/5.0|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/133.0.0.0 Safari/537.36
t13d3112h1_e8f1e7e78f70_b26ce05bbdd6,pythonrequests/2.31.0|pythonrequests/2.32.5|curl/7.88.1|pythonrequests/2.32.3|Mozilla/5.0 compatible; Googlebot/2.1; +http://*** |Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/60.0.3112.113 Safari/537.36 Assetnote/1.0.0|Mozilla/5.0 Windows NT 10.0; Win64; x64|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/124.0.0.0 Safari/537.36
t13d3112h1_e8f1e7e78f70_8d633dac7124,pythonrequests/2.31.0|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/108.0.0.0 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36
t13d3112h1_e8f1e7e78f70_24695f2957a7,pythonhttpx/0.28.1
t13d311200_e8f1e7e78f70_d339722ba4af,Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko Chrome/137.0.0.0 Safari/537.36|Mozilla/5.0 X11; Linux x86_64; rv:142.0 Gecko/20100101 Firefox/142.0|Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko Chrome/142.0.0.0 Safari/537.36
t13d311200_e8f1e7e78f70_ccd0985badbe,Mozilla/5.0 X11; Ubuntu; Linux x86_64; rv:134.0 Gecko/20100101 Firefox/134.0
t13d311200_e8f1e7e78f70_bdbfad5f0873,Mozilla/5.0
t13d311200_e8f1e7e78f70_b11171733d3d,Mozilla/5.0 X11; Ubuntu; Linux x86_64; rv:134.0 Gecko/20100101 Firefox/134.0
t13d311200_e8f1e7e78f70_8d4036f0cf4a,
t13d311200_e8f1e7e78f70_6077d120928a,
t13d3111h2_e8f1e7e78f70_b26ce05bbdd6,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/122.0.0.0 Safari/537.36|curl/8.5.0
t13d3111h2_e8f1e7e78f70_5ac7197df9d2,facebookexternalhit/1.1 +http://*** 
t13d3111h1_e8f1e7e78f70_d41ae481755e,Python/3.12 aiohttp/3.13.3|pythonhttpx/0.28.1
t13d311100_e8f1e7e78f70_f6eeaf393d2e,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36|Mozilla/5.0
t13d311100_e8f1e7e78f70_ec00921739dd,Mozilla/5.0 compatible; Timpibot/0.8; +http://*** 
t13d311100_e8f1e7e78f70_d41ae481755e,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/138.0.0.0 Safari/537.36|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36; compatible; OAISearchBot/1.3; +https|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36; compatible; OAISearchBot/1.0; +https|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36; compatible; OAISearchBot/1.0; robots|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/136.0.0.0 Safari/537.36|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36; compatible; OAISearchBot/1.3; robots|Mozilla/5.0 AppleWebKit/537.36 KHTML like Gecko; compatible; GPTBot/1.2; +https://*** |Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/137.0.0.0 Safari/537.36|Mozilla/5.0 AppleWebKit/537.36 KHTML like Gecko; compatible; GPTBot/1.3; +https://*** 
t13d311100_e8f1e7e78f70_8d4036f0cf4a,
t13d311100_e8f1e7e78f70_24695f2957a7,Mozilla/5.0
t13d311100_e8f1e7e78f70_009f82a63104,
t13d311000_e8f1e7e78f70_d41ae481755e,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/94.0.4606.61 Safari/537.36
t13d311000_e8f1e7e78f70_a29327ec888c,Mozilla/5.0 X11; Ubuntu; Linux x86_64; rv:134.0 Gecko/20100101 Firefox/134.0
t13d311000_e8f1e7e78f70_1f22a2ca17c4,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/147.0.0.0 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/145.0.0.0 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/144.0.0.0 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/146.0.0.0 Safari/537.36
t13d311000_8ae6a2f5ac15_5ac7197df9d2,
t13d3013h2_1d37bd780c83_8537cf56674e,
t13d3013h1_1d37bd780c83_8537cf56674e,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/140.0.0.0 Safari/537.36 Edg/140.0.0.0|Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko Chrome/124.0.0.0 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/79.0.3945.79 Safari/537.36|pythonrequests/2.32.3|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/136.0.0.0 Safari/537.36|Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko Chrome/122.0.0.0 Safari/537.36|Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36
t13d3012h2_1d37bd780c83_882d495ac381,
t13d3012h1_1d37bd780c83_882d495ac381,pythonrequests/2.32.5
t13d301200_1d37bd780c83_ecd0401ec68b,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/99.0.4859.172 Safari/537.36
t13d301200_1d37bd780c83_89ab6efea773,Mozilla/5.0
t13d301200_1d37bd780c83_0b298858d6c1,Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36
t13d301100_1d37bd780c83_8e6e362c5eac,
t13d301000_3c43a67630b3_e7c285222651,Mozilla/5.0 compatible; InternetMeasurement/1.0; +https://*** 
t13d301000_1d37bd780c83_c3976d268853,
t13d291300_723694b0fccc_899037bd0b8c,
t13d2714h2_bd9791dd9fd6_5e078a691127,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/146.0.0.0 Safari/537.36
t13d2512h2_b78ed14e2fd0_ab7e3b40a677,
t13d251200_b78ed14e2fd0_9249cab70c77,
t13d251200_03c88ea8679b_6077d120928a,
t13d2511h2_b78ed14e2fd0_e7c285222651,
t13d2511h2_b78ed14e2fd0_ab7e3b40a677,
t13d251100_b78ed14e2fd0_e5728521abd4,Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/605.1.15 KHTML like Gecko Version/17.2 Safari/605.1.15|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36|Mozilla/5.0
t13d251100_b78ed14e2fd0_ab7e3b40a677,Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/91.0.4472.114 Safari/537.36
t13d2510h2_b78ed14e2fd0_e7c285222651,
t13d251000_b78ed14e2fd0_e7c285222651,Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36|Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko Chrome/124.0.0.0 Safari/537.36|Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko Chrome/125.0.0.0 Safari/537.36|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/605.1.15 KHTML like Gecko Version/18.5 Safari/605.1.15|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/133.0.0.0 Safari/537.36|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/605.1.15 KHTML like Gecko Version/17.4 Safari/605.1.15|Mozilla/5.0 Windows NT 10.0; Win64; x64; rv:127.0 Gecko/20100101 Firefox/127.0|Mozilla/5.0 Windows NT 10.0; Win64; x64; rv:121.0 Gecko/20100101 Firefox/121.0|Mozilla/5.0 Windows NT 10.0; Win64; x64; rv:123.0 Gecko/20100101 Firefox/123.0|Gohttpclient/1.1|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/119.0.0.0 Safari/537.36|Mozilla/5.0 Macintosh; Intel Mac OS X 10.15; rv:130.0 Gecko/20100101 Firefox/130.0|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/122.0.0.0 Safari/537.36|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/123.0.0.0 Safari/537.36|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/124.0.0.0 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/91.0.4472.124 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64; rv:122.0 Gecko/20100101 Firefox/122.0|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/121.0.0.0 Safari/537.36|Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/605.1.15 KHTML like Gecko Version/14.0.3 Safari/605.1.15|Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko Chrome/120.0.0.0 Safari/537.36|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/125.0.0.0 Safari/537.36|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/537.36 KHTML like Gecko Chrome/120.0.0.0 Safari/537.36|Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/605.1.15 KHTML like Gecko Version/17.0 Safari/605.1.15
t13d251000_b78ed14e2fd0_e5728521abd4,
t13d250900_b78ed14e2fd0_e7c285222651,Mozilla/5.0 Windows NT 10.0; Win64; x64; rv:122.0 Gecko/20100101 Firefox/122.0
t13d2313h1_caaf12dcd773_ce5650b735ce,
t13d221300_a3988f242d56_678a800b2221,Mozilla/5.0 compatible; NetcraftSurveyAgent/1.0; +info@netcraft.com
t13d2212h2_231e334592e8_36bf25f296df,Mozilla/5.0 AppleWebKit/537.36 KHTML like Gecko; compatible; bingbot/2.0; +http://*** Chrome/116.0.1938.76 Safari/537.36
t13d221100_231e334592e8_36bf25f296df,Mozilla/5.0 Windows NT 10.0; Win64; x64; rv:81.0 Gecko/20100101 Firefox/81.0
t13d221000_231e334592e8_29829a46703f,Mozilla/5.0 X11; Linux x86_64 AppleWebKit/537.36 KHTML like Gecko Chrome/81.0.4044.129 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64; rv:81.0 Gecko/20100101 Firefox/81.0|Mozilla/5.0 Windows NT 10.0; Win64; x64; rv:128.0 Gecko/20100101 Firefox/128.0|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/131.0.0.0 Safari/537.36|Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/120.0.0.0 Safari/537.36|Mozilla/5.0
t13d211000_5b4dbf46778c_7bc0f0d81821,
t13d2014h2_a09f3c656075_e42f34c56612,Mozilla/5.0 Macintosh; Intel Mac OS X 10_15_7 AppleWebKit/605.1.15 KHTML like Gecko Version/18.5 Safari/605.1.15
t13d2014h2_a09f3c656075_14788d8d241b,
t13d2014h1_a09f3c656075_e42f34c56612,
t13d2013h2_a09f3c656075_7f0f34a4126d,
t13d2013h2_2b729b4bf6f3_e24568c0d440,Mozilla/5.0 AppleWebKit/537.36 KHTML like Gecko; compatible; bingbot/2.0; +http://*** Chrome/116.0.1938.76 Safari/537.36
t13d201200_2b729b4bf6f3_e24568c0d440,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/91.0.4472.124 Safari/537.36
t13d201200_2b729b4bf6f3_89322cc15493,Mozilla/5.0 Linux; Android 11; CPH2251 AppleWebKit/537.36 KHTML like Gecko Chrome/116.0.0.0 Mobile Safari/537.36
t13d201100_2b729b4bf6f3_9e7b989ebec8,Mozilla/5.0 Windows NT 10.0; Win64; x64 AppleWebKit/537.36 KHTML like Gecko Chrome/91.0.4472.124 Safari/537.36
